motif	category	tax.bio	kingdom	phylum	class	order	family	genus	species
K00008_upstream.fna.motif.h1_2	High covariation	1165094.SAMEA2272692	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	98443 Richelia	1164990 Richelia intracellularis
K00008_upstream.fna.motif.h1_2	High covariation	454136.SAMN05890689	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892254 Oscillatoriaceae	1198 Phormidium	71191 Phormidium ambiguum
K00008_upstream.fna.motif.h1_2	High covariation	1188.SAMN03450030	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1188 Tolypothrix sp. PCC 7601
K00008_upstream.fna.motif.h1_2	High covariation	1337936.SAMN02909965	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	1337936 Calothrix sp. 336/3
K00008_upstream.fna.motif.h1_2	High covariation	1173022.SAMN02261349	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892255 Gomontiellaceae	241421 Crinalium	241425 Crinalium epipsammum
K00008_upstream.fna.motif.h1_2	High covariation	65393.SAMN00000286	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892249 Cyanothecaceae	43988 Cyanothece	65393 Cyanothece sp. PCC 7424
K00008_upstream.fna.motif.h1_2	High covariation	111780.SAMN02261352	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890498 Dermocarpellaceae	102115 Stanieria	102116 Stanieria cyanosphaera
K00008_upstream.fna.motif.h1_2	High covariation	32057.SAMN02261256	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	32057 Calothrix sp. PCC 7103
K00008_upstream.fna.motif.h1_2	High covariation	251229.SAMN02261359	2 Bacteria	1117 Cyanobacteria	NA	1890505 Chroococcidiopsidales	1890528 Chroococcidiopsidaceae	54298 Chroococcidiopsis	54299 Chroococcidiopsis thermalis
K00008_upstream.fna.motif.h1_2	High covariation	1137096.SAMN05890688	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	1137096 Calothrix sp. HK-06
