tax.bio	kingdom	phylum	class	order	family	genus	species
102125.SAMN02261354	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890499 Xenococcaceae	52607 Xenococcus	102125 Xenococcus sp. PCC 7305
102127.SAMN02261249	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892251 Coleofasciculaceae	63132 Geitlerinema	102127 Geitlerinema sp. PCC 7105
102129.SAMN02256520	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	102129 Leptolyngbya sp. PCC 7375
102232.SAMN02261353	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	102231 Gloeocapsa	102232 Gloeocapsa sp. PCC 73106
103690.SAMD00061094	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	103690 Nostoc sp. PCC 7120
1041938.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1041939.SAMN02954344	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1080068.SAMD00045841	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1080068 Leptolyngbya sp. O-77
110662.SAMN02598311	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	110662 Synechococcus sp. CC9605
110663.SAMN02597268	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	110663 Synechococcus sp. CC9616
111611.SAMN04267304	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892251 Coleofasciculaceae	63132 Geitlerinema	111611 Geitlerinema sp. PCC 9228
111780.SAMN02261352	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890498 Dermocarpellaceae	102115 Stanieria	102116 Stanieria cyanosphaera
111781.SAMN02232033	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	111781 Leptolyngbya sp. PCC 7376
1128427.SAMN02256433	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	NA	NA	1128427 filamentous cyanobacterium ESFC-1
113355.SAMN02256519	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	669357 Geminocystis	669359 Geminocystis herdmanii
1137095.SAMN05890690	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	1137095 Scytonema sp. HK-05
1137096.SAMN05890688	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	1137096 Calothrix sp. HK-06
1140.SAMN02598254	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	32046 Synechococcus elongatus
1147.SAMN02471775	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890428 Merismopediaceae	1142 Synechocystis	1147 Synechocystis sp. PCC 6714
1148.SAMD00061113	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890428 Merismopediaceae	1142 Synechocystis	1148 Synechocystis sp. PCC 6803
1165094.SAMEA2272692	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	98443 Richelia	1164990 Richelia intracellularis
1170562.SAMN02261327	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1185 Rivulariaceae	1186 Calothrix	32054 Calothrix parietina
1173020.SAMN02261345	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890431 Chamaesiphonaceae	217161 Chamaesiphon	1173032 Chamaesiphon minutus
1173021.SAMN02261344	2 Bacteria	1117 Cyanobacteria	NA	NA	NA	NA	1173021 cyanobacterium PCC 7702
1173022.SAMN02261349	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892255 Gomontiellaceae	241421 Crinalium	241425 Crinalium epipsammum
1173023.SAMN02441755	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1173023 Fischerella sp. PCC 9431
1173024.SAMN02597161	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1173024 Fischerella sp. PCC 9605
1173025.SAMN02261348	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892251 Coleofasciculaceae	63132 Geitlerinema	1173025 Geitlerinema sp. PCC 7407
1173026.SAMN02261347	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	102231 Gloeocapsa	1173026 Gloeocapsa sp. PCC 7428
1173027.SAMN02261351	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	44471 Microcoleus	1173027 Microcoleus sp. PCC 7113
1173028.SAMN02261253	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892254 Oscillatoriaceae	1158 Oscillatoria	1173028 Oscillatoria sp. PCC 10802
1173029.SAMN02261255	2 Bacteria	1117 Cyanobacteria	NA	1890443 Spirulinales	1890448 Spirulinaceae	1154 Spirulina	54311 Spirulina subsalsa
1173263.SAMN02261356	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1173263 Synechococcus sp. PCC 7502
1173264.SAMN02261357	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1173264 Leptolyngbya sp. PCC 6406
118161.SAMN02261343	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890500 Hyellaceae	44474 Pleurocapsa	118161 Pleurocapsa sp. PCC 7319
118163.SAMN02261346	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890500 Hyellaceae	44474 Pleurocapsa	54308 Pleurocapsa minor
118166.SAMN02261265	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	2303730 Prochlorotrichaceae	1120752 Nodosilinea	416001 Nodosilinea nodulosa
118168.SAMN02436227	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892251 Coleofasciculaceae	669368 Coleofasciculus	64178 Coleofasciculus chthonoplastes
118173.SAMN02261339	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890436 Pseudanabaenaceae	1152 Pseudanabaena	118173 Pseudanabaena sp. PCC 6802
1183438.SAMN02604186	2 Bacteria	1117 Cyanobacteria	307596 Gloeobacteria	307595 Gloeobacterales	1890422 Gloeobacteraceae	33071 Gloeobacter	1416614 Gloeobacter kilaueensis
1188.SAMN03450030	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	119859 Tolypothrichaceae	111782 Tolypothrix	1188 Tolypothrix sp. PCC 7601
1188229.SAMN05853575	2 Bacteria	1117 Cyanobacteria	NA	1955042 Gloeoemargaritales	1955043 Gloeomargaritaceae	1188227 Gloeomargarita	1188228 Gloeomargarita lithophora
1219.SAMEA3368574	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1219.SAMEA3368575	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1219.SAMEA3368576	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1219.SAMEA3368577	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1228987.SAMD00061037	2 Bacteria	1117 Cyanobacteria	NA	NA	NA	NA	718217 cyanobacterium endosymbiont of Epithemia turgida
1229172.SAMN02953965	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1229172 Leptolyngbya sp. KIOST-1
1233231.SAMN03274355	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	1233230 Scytonema tolypothrichoides
1280380.SAMN02202183	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1280380 Synechococcus sp. KORDI-100
128403.SAMN02469880	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1182 Scytonemataceae	1203 Scytonema	34078 Scytonema hofmannii
129961.SAMN02744077	2 Bacteria	1117 Cyanobacteria	NA	1890443 Spirulinales	1890448 Spirulinaceae	1154 Spirulina	270636 Spirulina major
13035.SAMN02261331	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	13034 Dactylococcopsis	292566 Dactylococcopsis salina
