motif	category	term	side	ortholog	path	pathway
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	map00040	Pentose and glucuronate interconversions
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	ko00040	NA
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	map00051	Fructose and mannose metabolism
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	ko00051	NA
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	map01100	Metabolic pathways
K00008_upstream.fna.motif.h1_2	High covariation	K00008	upstream	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	ko01100	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map00040	Pentose and glucuronate interconversions
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00040	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map00053	Ascorbate and aldarate metabolism
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00053	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map00520	Amino sugar and nucleotide sugar metabolism
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00520	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map00541	O-Antigen nucleotide sugar biosynthesis
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00541	NA
K00012_upstream.fna.motif.h1_3	Conserved sequence (low covariation and power)	K00012	upstream	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	map01100	Metabolic pathways
