motif	region	region.gc	region.avgid	RNAphylo	RNAphylo.fdr	hmmpair	no.seq	alignment.len	avgid	no.bps	fraction.paired	expected.covary	observed.covary	alignment.power	fraction.covarying
K00003_upstream.fna.motif.h1_1	K00003_upstream	(0.4,0.44]	(54,63]	86.16	3.3333333333333335	4.9275	34	34	68.38	12	35.294117647058826	2.1	5	17.5	41.66666666666667
K00003_upstream.fna.motif.h1_2	K00003_upstream	(0.4,0.44]	(54,63]	107.28	3.3333333333333335	2.92504	32	41	72.18	12	29.268292682926827	2	5	16.666666666666664	41.66666666666667
K00003_upstream.fna.motif.h2_1	K00003_upstream	(0.4,0.44]	(54,63]	136.31	3.3333333333333335	4.79015	35	72	56.59	12	16.666666666666664	2	4	16.666666666666664	33.33333333333333
K00008_downstream.fna.motif.h1_3	K00008_downstream	(0.4,0.44]	(46,54]	47.32	1.1764705882352942	0.00117451	18	49	54.52	15	30.612244897959183	3.1	1	20.666666666666668	6.666666666666667
K00008_downstream.fna.motif.h2_1	K00008_downstream	(0.4,0.44]	(46,54]	10.79	3.5294117647058822	4.74389	3	89	52.37	21	23.595505617977526	0.1	2	0.4761904761904762	9.523809523809524
K00008_upstream.fna.motif.h1_2	K00008_upstream	(0.4,0.44]	(46,54]	34.57	1.1764705882352942	0	28	51	48.32	17	33.33333333333333	6.1	6	35.88235294117647	35.294117647058826
K00012_downstream.fna.motif.h1_1	K00012_downstream	(0.4,0.44]	(35,41]	15.2	6.25	2.99074	15	34	67.91	10	29.411764705882355	0.6	2	6	20
K00012_upstream.fna.motif.h1_3	K00012_upstream	(0.36,0.4]	(54,63]	6.73	10	1.24106	15	48	54.13	18	37.5	3.2	1	17.77777777777778	5.555555555555555
K00031_downstream.fna.motif.h1_4.h2_2	K00031_downstream	(0.36,0.4]	(35,41]	1.19	29.41176470588235	0	36	72	76.94	4	5.555555555555555	0.3	0	7.5	0
K00031_downstream.fna.motif.h2_1	K00031_downstream	(0.36,0.4]	(35,41]	0.01	82.35294117647058	0	29	56	83.13	12	21.428571428571427	0.9	0	7.5	0
K00031_upstream.fna.motif.h1_4.h2_2	K00031_upstream	(0.4,0.44]	(46,54]	0.21	48.23529411764706	3.65511e-7	27	66	82.68	18	27.27272727272727	1.8	0	10	0
K00031_upstream.fna.motif.h1_5	K00031_upstream	(0.4,0.44]	(46,54]	0.41	37.64705882352941	0.0964919	21	45	86.51	10	22.22222222222222	0.3	0	3	0
K00031_upstream.fna.motif.h2_3.h2_5	K00031_upstream	(0.4,0.44]	(46,54]	7.49	4.705882352941177	1.73679e-4	42	122	72.74	31	25.40983606557377	6.4	0	20.64516129032258	0
K00031_upstream.fna.motif.h2_4	K00031_upstream	(0.4,0.44]	(46,54]	9.13	4.705882352941177	0.899899	22	68	75.7	24	35.294117647058826	1.8	0	7.5	0
K00036_downstream.fna.motif.h1_1	K00036_downstream	(0.36,0.4]	(54,63]	19.51	10	0	44	54	57.3	12	22.22222222222222	3.7	9	30.833333333333336	75
K00036_upstream.fna.motif.h1_1	K00036_upstream	(0.4,0.44]	(54,63]	47.69	3.3333333333333335	3.55663	18	53	50.42	16	30.18867924528302	3.4	6	21.25	37.5
K00053_upstream.fna.motif.h1_4	K00053_upstream	(0.4,0.44]	(54,63]	0.01	93.33333333333334	0.282028	26	51	83.63	9	17.647058823529413	0.4	1	4.444444444444445	11.11111111111111
K00075_downstream.fna.motif.h1_1	K00075_downstream	(0.4,0.44]	(54,63]	0.02	93.33333333333334	0	17	34	89.68	6	17.647058823529413	0	0	0	0
K00075_downstream.fna.motif.h1_2	K00075_downstream	(0.4,0.44]	(54,63]	0.02	93.33333333333334	0	16	35	92.87	6	17.142857142857142	0	0	0	0
K00075_downstream.fna.motif.h1_4	K00075_downstream	(0.4,0.44]	(54,63]	5.63	36.66666666666667	0.465928	4	44	81.11	15	34.090909090909086	0	0	0	0
K00075_upstream.fna.motif.h2_1	K00075_upstream	(0.36,0.4]	(54,63]	41.54	10	1.97164	34	69	58.37	8	11.594202898550725	1.6	1	20	12.5
K00088_downstream.fna.motif.h1_1	K00088_downstream	(0.4,0.44]	(46,54]	75.57	1.1764705882352942	2.43161	49	33	84.42	10	30.303030303030305	1.2	4	12	40
K00088_downstream.fna.motif.h1_2	K00088_downstream	(0.4,0.44]	(46,54]	14.42	2.3529411764705883	0.979642	51	34	87.95	11	32.35294117647059	0.1	0	0.9090909090909092	0
K00088_downstream.fna.motif.h1_3	K00088_downstream	(0.4,0.44]	(46,54]	0.24	47.05882352941177	2.43412e-10	31	37	77.59	9	24.324324324324326	0.3	1	3.3333333333333335	11.11111111111111
K00088_downstream.fna.motif.h1_5	K00088_downstream	(0.4,0.44]	(46,54]	0.95	30.58823529411765	0.363315	42	43	67.01	9	20.930232558139537	0.9	2	10	22.22222222222222
K00088_downstream.fna.motif.h2_1.h2_3.h1_4	K00088_downstream	(0.4,0.44]	(46,54]	87.51	1.1764705882352942	6.80182	132	131	56.4	19	14.50381679389313	4.7	7	24.73684210526316	36.84210526315789
K00088_downstream.fna.motif.h2_2	K00088_downstream	(0.4,0.44]	(46,54]	71.26	1.1764705882352942	2.86994	96	54	68.69	10	18.51851851851852	1.9	5	19	50
K00088_upstream.fna.motif.h1_5	K00088_upstream	(0.4,0.44]	(41,46]	0.01	78.87323943661973	0	18	54	88.16	12	22.22222222222222	0.3	0	2.5	0
K00099_downstream.fna.motif.h1_1	K00099_downstream	(0.4,0.44]	(46,54]	25.58	1.1764705882352942	2.39898	9	33	73.06	13	39.39393939393939	0.2	0	1.5384615384615385	0
K00099_downstream.fna.motif.h2_2	K00099_downstream	(0.4,0.44]	(46,54]	0.04	67.05882352941177	0	23	55	72.42	9	16.363636363636363	0.5	0	5.555555555555555	0
K00099_upstream.fna.motif.h1_5.h2_2.h1_4	K00099_upstream	(0.44,0.48]	(41,46]	2.74	12.5	1.77293	17	88	86.04	15	17.045454545454543	0.3	1	2	6.666666666666667
K00121_upstream.fna.motif.h1_1	K00121_upstream	(0.4,0.44]	(41,46]	0.01	78.87323943661973	0	4	37	83	12	32.432432432432435	0	0	0	0
K00121_upstream.fna.motif.h1_4	K00121_upstream	(0.4,0.44]	(41,46]	0.09	59.15492957746479	0	17	34	83.11	7	20.588235294117645	0.1	0	1.4285714285714286	0
K00133_downstream.fna.motif.h2_1	K00133_downstream	(0.48,1]	(0,35]	0.05	85.71428571428571	3.45007	3	61	61.57	16	26.229508196721312	0	0	0	0
K00133_upstream.fna.motif.h1_1	K00133_upstream	(0.4,0.44]	(41,46]	48.07	1.4084507042253522	4.48507	12	37	52.97	13	35.13513513513514	1.3	5	10	38.46153846153847
K00133_upstream.fna.motif.h1_2	K00133_upstream	(0.4,0.44]	(41,46]	0.04	64.7887323943662	0.862285	17	47	87.07	16	34.04255319148936	0.2	0	1.25	0
K00133_upstream.fna.motif.h1_3	K00133_upstream	(0.4,0.44]	(41,46]	20.48	1.4084507042253522	0	44	50	66.32	10	20	2	0	20	0
K00133_upstream.fna.motif.h1_5	K00133_upstream	(0.4,0.44]	(41,46]	0.09	59.15492957746479	0.0187589	20	55	81.89	16	29.09090909090909	0.6	0	3.75	0
K00133_upstream.fna.motif.h2_1	K00133_upstream	(0.4,0.44]	(41,46]	8.65	8.450704225352114	0.365853	23	51	78.71	11	21.568627450980394	1	1	9.090909090909092	9.090909090909092
K00133_upstream.fna.motif.h2_2	K00133_upstream	(0.4,0.44]	(41,46]	19.14	1.4084507042253522	0	25	69	63.88	11	15.942028985507244	2.2	2	20	18.181818181818183
K00133_upstream.fna.motif.h2_3	K00133_upstream	(0.4,0.44]	(41,46]	1.65	32.3943661971831	4.13867e-6	27	91	74.34	17	18.681318681318682	1.6	0	9.411764705882353	0
K00133_upstream.fna.motif.h2_5	K00133_upstream	(0.4,0.44]	(41,46]	13.78	1.4084507042253522	0.493702	28	78	76.1	22	28.205128205128204	2.4	0	10.909090909090908	0
K00135_upstream.fna.motif.h2_1	K00135_upstream	(0.36,0.4]	(41,46]	11.23	11.11111111111111	0.22125	27	49	63.79	6	12.244897959183673	0.6	2	10	33.33333333333333
K00145_downstream.fna.motif.h1_2	K00145_downstream	(0.44,0.48]	(46,54]	0.28	37.83783783783784	0	19	31	87.86	12	38.70967741935484	0.1	0	0.8333333333333334	0
K00145_downstream.fna.motif.h1_3	K00145_downstream	(0.44,0.48]	(46,54]	0.06	67.56756756756756	0	24	37	81.6	9	24.324324324324326	0.6	0	6.666666666666667	0
K00145_downstream.fna.motif.h1_4.h2_2	K00145_downstream	(0.44,0.48]	(46,54]	16.91	10.81081081081081	0	39	83	81.9	17	20.481927710843372	2.9	0	17.058823529411764	0
K00145_upstream.fna.motif.h1_3	K00145_upstream	(0.4,0.44]	(46,54]	0.02	75.29411764705883	0.00761365	8	41	86.93	6	14.634146341463413	0	1	0	16.666666666666664
K00145_upstream.fna.motif.h1_5.h2_4.h2_1.h1_1	K00145_upstream	(0.4,0.44]	(46,54]	118.55	1.1764705882352942	0.00132649	35	171	74.13	32	18.71345029239766	5	0	15.625	0
K00147_upstream.fna.motif.h1_1	K00147_upstream	(0.4,0.44]	(54,63]	26.34	6.666666666666667	2.14469	7	33	58.42	9	27.27272727272727	0.5	2	5.555555555555555	22.22222222222222
